,background,mont1,mont2,mont3,tree2,glass2,tree1,glass
0,_0000s_0005_秋,_0001s_0004_形状-10,_0000s_0003_形状-9,_0001s_0002_山脉,_0002s_0001s_0001_形状-2,_0002s_0001_山丘,_0002s_0000s_0000_形状-1,_0002s_0000_草地
1,_0002s_0005_春,_0000s_0004_形状-10,_0002s_0003_形状-9,_0000s_0002_山脉,_0002s_0001s_0001_形状-2,_0001s_0001_山丘,_0000s_0000s_0000_形状-1,_0000s_0000_草地
2,_0001s_0005_春,_0000s_0004_形状-10,_0000s_0003_形状-9,_0002s_0002_山脉,_0002s_0001s_0001_形状-2,_0002s_0001_山丘,_0000s_0000s_0000_形状-1,_0000s_0000_草地
3,_0001s_0005_春,_0000s_0004_形状-10,_0001s_0003_形状-9,_0002s_0002_山脉,_0001s_0001s_0001_形状-2,_0000s_0001_山丘,_0001s_0000s_0000_形状-1,_0002s_0000_草地
4,_0001s_0005_春,_0001s_0004_形状-10,_0002s_0003_形状-9,_0000s_0002_山脉,_0001s_0001s_0001_形状-2,_0001s_0001_山丘,_0000s_0000s_0000_形状-1,_0002s_0000_草地
5,_0001s_0005_春,_0001s_0004_形状-10,_0001s_0003_形状-9,_0001s_0002_山脉,_0002s_0001s_0001_形状-2,_0002s_0001_山丘,_0000s_0000s_0000_形状-1,_0000s_0000_草地
6,_0001s_0005_春,_0001s_0004_形状-10,_0000s_0003_形状-9,_0002s_0002_山脉,_0001s_0001s_0001_形状-2,_0000s_0001_山丘,_0000s_0000s_0000_形状-1,_0001s_0000_草地
7,_0000s_0005_秋,_0001s_0004_形状-10,_0000s_0003_形状-9,_0000s_0002_山脉,_0002s_0001s_0001_形状-2,_0002s_0001_山丘,_0000s_0000s_0000_形状-1,_0001s_0000_草地
8,_0001s_0005_春,_0001s_0004_形状-10,_0000s_0003_形状-9,_0001s_0002_山脉,_0002s_0001s_0001_形状-2,_0001s_0001_山丘,_0000s_0000s_0000_形状-1,_0002s_0000_草地
9,2,_0001s_0004_形状-10,_0000s_0003_形状-9,_0000s_0002_山脉,_0000s_0001s_0001_形状-2,_0002s_0001_山丘,_0001s_0000s_0000_形状-1,_0000s_0000_草地
